date,gas_price
2011-01-24,3.402
2011-01-31,3.41
2011-02-07,3.444
2011-02-14,3.492
2011-02-21,3.601
2011-02-28,3.765
2011-03-07,3.92
2011-03-14,4
2011-03-21,4.012
2011-03-28,4.074
2011-04-04,4.103
2011-04-11,4.208
2011-04-18,4.251
2011-04-25,4.263
2011-05-02,4.303
2011-05-09,4.302
2011-05-16,4.265
2011-05-23,4.17
2011-05-30,4.105
2011-06-06,4.041
2011-06-13,3.987
2011-06-20,3.947
2011-06-27,3.886
2011-07-04,3.84
2011-07-11,3.826
2011-07-18,3.846
2011-07-25,3.865
2011-08-01,3.857
2011-08-08,3.844
2011-08-15,3.78
2011-08-22,3.781
2011-08-29,3.855
2011-09-05,3.99
2011-09-12,3.99
2011-09-19,3.969
2011-09-26,3.934
2011-10-03,3.881
2011-10-10,3.862
2011-10-17,3.91
2011-10-24,3.905
2011-10-31,3.894
2011-11-07,3.903
2011-11-14,3.89
2011-11-21,3.834
2011-11-28,3.766
2011-12-05,3.704
2011-12-12,3.66
2011-12-19,3.604
2011-12-26,3.624
2012-01-02,3.684
2012-01-09,3.755
2012-01-16,3.747
2012-01-23,3.762
2012-01-30,3.787
2012-02-06,3.805
2012-02-13,3.882
2012-02-20,4.081
2012-02-27,4.338
2012-03-05,4.405
2012-03-12,4.424
2012-03-19,4.422
2012-03-26,4.406
2012-04-02,4.369
2012-04-09,4.327
2012-04-16,4.282
2012-04-23,4.25
2012-04-30,4.233
2012-05-07,4.259
2012-05-14,4.414
2012-05-21,4.382
2012-05-28,4.358
2012-06-04,4.307
2012-06-11,4.211
2012-06-18,4.076
2012-06-25,3.936
2012-07-02,3.819
2012-07-09,3.779
2012-07-16,3.8
2012-07-23,3.858
2012-07-30,3.849
2012-08-06,3.915
2012-08-13,4.142
2012-08-20,4.175
2012-08-27,4.205
2012-09-03,4.221
2012-09-10,4.224
2012-09-17,4.201
2012-09-24,4.197
2012-10-01,4.221
2012-10-08,4.707
2012-10-15,4.669
2012-10-22,4.479
2012-10-29,4.216
2012-11-05,4.043
2012-11-12,3.904
2012-11-19,3.831
2012-11-26,3.794
2012-12-03,3.743
2012-12-10,3.667
2012-12-17,3.573
2012-12-24,3.554
2012-12-31,3.601
2013-01-07,3.652
2013-01-14,3.661
2013-01-21,3.677
2013-01-28,3.723
2013-02-04,3.952
2013-02-11,4.092
2013-02-18,4.203
2013-02-25,4.26
2013-03-04,4.26
2013-03-11,4.221
2013-03-18,4.169
2013-03-25,4.117
2013-04-01,4.1
2013-04-08,4.081
2013-04-15,4.039
2013-04-22,3.981
2013-04-29,3.952
2013-05-06,3.956
2013-05-13,4.087
2013-05-20,4.094
2013-05-27,4.068
2013-06-03,4.024
2013-06-10,4.016
2013-06-17,4.036
2013-06-24,4.122
2013-07-01,4.051
2013-07-08,4.033
2013-07-15,4.064
2013-07-22,4.083
2013-07-29,4.05
2013-08-05,3.999
2013-08-12,3.949
2013-08-19,3.878
2013-08-26,3.85
2013-09-02,3.87
2013-09-09,3.947
2013-09-16,4.096
2013-09-23,4.052
2013-09-30,3.98
2013-10-07,3.898
2013-10-14,3.84
2013-10-21,3.812
2013-10-28,3.765
2013-11-04,3.711
2013-11-11,3.65
2013-11-18,3.608
2013-11-25,3.595
2013-12-02,3.624
2013-12-09,3.629
2013-12-16,3.621
2013-12-23,3.642
2013-12-30,3.695
2014-01-06,3.714
2014-01-13,3.683
2014-01-20,3.638
2014-01-27,3.63
2014-02-03,3.639
2014-02-10,3.675
2014-02-17,3.747
2014-02-24,3.844
2014-03-03,3.904
2014-03-10,3.946
2014-03-17,4.007
2014-03-24,4.019
2014-03-31,4.045
2014-04-07,4.077
2014-04-14,4.206
2014-04-21,4.254
2014-04-28,4.302
2014-05-05,4.271
2014-05-12,4.218
2014-05-19,4.208
2014-05-26,4.184
2014-06-02,4.176
2014-06-09,4.155
2014-06-16,4.151
2014-06-23,4.151
2014-06-30,4.18
2014-07-07,4.177
2014-07-14,4.138
2014-07-21,4.083
2014-07-28,4.041
2014-08-04,4
2014-08-11,3.974
2014-08-18,3.946
2014-08-25,3.925
2014-09-01,3.891
2014-09-08,3.863
2014-09-15,3.833
2014-09-22,3.775
2014-09-29,3.741
2014-10-06,3.714
2014-10-13,3.647
2014-10-20,3.538
2014-10-27,3.44
2014-11-03,3.348
2014-11-10,3.266
2014-11-17,3.2
2014-11-24,3.122
