date,temp_mean,temp_max,temp_min,precip
2011-01-22,13.0,20.7,6.9,0.0
2011-01-23,13.4,22.4,7.3,0.0
2011-01-24,13.3,22.6,6.5,0.0
2011-01-25,14.1,23.2,8.0,0.0
2011-01-26,14.3,23.9,7.8,0.0
2011-01-27,14.1,24.3,7.0,0.0
2011-01-28,14.2,22.9,7.3,0.0
2011-01-29,11.7,18.1,6.1,0.0
2011-01-30,10.1,13.1,7.6,1.0
2011-01-31,10.8,18.9,4.3,0.0
2011-02-01,10.1,17.2,4.9,0.0
2011-02-02,8.7,16.4,2.1,0.0
2011-02-03,8.8,17.9,1.6,0.0
2011-02-04,10.7,20.7,3.0,0.0
2011-02-05,13.2,21.8,6.6,0.0
2011-02-06,15.6,25.6,7.8,0.0
2011-02-07,15.2,24.3,8.5,0.0
2011-02-08,13.2,19.4,8.6,0.0
2011-02-09,11.8,20.2,4.1,0.0
2011-02-10,12.0,21.3,4.3,0.0
2011-02-11,13.4,24.3,4.7,0.0
2011-02-12,15.5,26.6,6.9,0.0
2011-02-13,14.1,23.2,7.1,0.0
2011-02-14,12.1,18.1,6.7,0.0
2011-02-15,12.8,15.7,10.0,1.4
2011-02-16,11.7,14.0,8.4,6.9
2011-02-17,8.8,12.9,3.4,0.0
2011-02-18,9.7,15.0,5.9,21.4
2011-02-19,8.5,11.2,6.3,11.5
2011-02-20,7.8,14.1,2.0,0.4
2011-02-21,8.3,13.5,3.7,0.0
2011-02-22,8.7,14.7,4.2,0.0
2011-02-23,8.6,13.5,3.6,0.0
2011-02-24,9.0,13.4,4.5,0.0
2011-02-25,8.5,11.2,5.5,10.5
2011-02-26,7.7,10.6,2.2,13.6
2011-02-27,5.9,13.2,-0.8,0.0
2011-02-28,8.4,16.8,0.9,0.0
2011-03-01,9.5,16.3,3.0,0.0
2011-03-02,10.2,15.1,4.7,0.4
2011-03-03,13.5,18.7,9.9,0.0
2011-03-04,14.1,23.1,6.9,0.0
2011-03-05,15.7,24.9,8.1,0.0
2011-03-06,13.4,18.3,8.7,0.0
2011-03-07,12.6,16.2,10.0,1.0
2011-03-08,13.2,21.5,6.2,0.0
2011-03-09,16.6,26.7,8.3,0.0
2011-03-10,16.7,25.7,9.0,0.0
2011-03-11,14.6,21.1,9.3,0.0
2011-03-12,13.2,18.8,9.1,0.0
2011-03-13,13.8,20.5,7.6,0.0
2011-03-14,16.3,24.6,9.1,0.0
2011-03-15,17.3,27.2,9.9,0.0
2011-03-16,16.2,21.0,12.5,0.0
2011-03-17,15.8,23.1,10.3,0.0
2011-03-18,12.9,19.6,6.1,0.0
2011-03-19,11.6,15.3,9.1,2.0
2011-03-20,10.2,11.2,9.3,53.1
2011-03-21,9.3,13.4,6.1,8.0
2011-03-22,9.3,13.8,5.3,0.0
2011-03-23,9.1,15.3,4.5,9.8
2011-03-24,9.1,12.5,3.7,3.6
2011-03-25,11.0,14.4,8.0,7.6
2011-03-26,10.0,13.1,7.0,0.0
2011-03-27,11.8,15.4,9.3,1.3
2011-03-28,12.5,18.3,7.3,0.0
2011-03-29,14.8,22.5,7.6,0.0
2011-03-30,18.6,27.7,10.5,0.0
2011-03-31,21.7,31.7,13.2,0.0
2011-04-01,21.0,29.3,13.9,0.0
2011-04-02,16.4,20.3,13.1,0.0
2011-04-03,13.9,18.0,11.3,0.1
2011-04-04,17.1,25.8,8.9,0.0
2011-04-05,16.3,24.2,10.1,0.0
2011-04-06,15.1,20.3,11.1,0.0
2011-04-07,12.1,15.9,7.6,1.2
2011-04-08,8.4,13.0,5.3,2.5
2011-04-09,9.1,14.4,3.0,0.0
2011-04-10,11.7,19.3,4.4,0.0
2011-04-11,14.8,22.7,8.0,0.0
2011-04-12,14.3,20.6,8.4,0.0
2011-04-13,13.4,17.3,10.4,0.1
2011-04-14,15.8,25.6,6.2,0.0
2011-04-15,20.1,30.6,10.5,0.0
2011-04-16,22.3,32.3,13.2,0.0
2011-04-17,19.3,26.1,12.9,0.0
2011-04-18,15.5,18.5,13.2,0.0
2011-04-19,15.4,20.8,11.9,0.0
2011-04-20,15.4,20.8,12.4,0.3
2011-04-21,14.6,19.3,10.9,0.0
2011-04-22,14.9,21.2,10.1,0.0
2011-04-23,14.8,20.5,10.7,0.0
2011-04-24,13.7,17.5,10.5,0.2
2011-04-25,17.0,24.9,9.3,0.0
2011-04-26,18.5,27.5,9.9,0.0
2011-04-27,20.7,30.3,11.0,0.0
2011-04-28,20.6,28.3,13.1,0.0
2011-04-29,18.6,25.2,11.3,0.0
2011-04-30,18.5,25.8,10.4,0.0
2011-05-01,19.3,28.9,9.3,0.0
2011-05-02,21.4,31.7,10.4,0.0
2011-05-03,23.7,34.2,12.6,0.0
2011-05-04,23.8,34.2,13.9,0.0
2011-05-05,22.1,31.1,13.4,0.0
2011-05-06,19.6,25.5,14.8,0.0
2011-05-07,16.3,21.9,11.1,0.0
2011-05-08,13.7,16.8,11.7,0.0
2011-05-09,13.1,17.1,9.3,0.0
2011-05-10,14.7,21.3,7.4,0.0
2011-05-11,16.1,23.2,9.0,0.0
2011-05-12,19.1,27.4,10.7,0.0
2011-05-13,18.6,25.4,12.9,0.0
2011-05-14,15.7,20.6,12.3,0.0
2011-05-15,13.4,17.4,10.3,1.9
2011-05-16,12.7,17.7,7.4,0.0
2011-05-17,12.8,16.4,10.7,2.5
2011-05-18,14.0,18.0,11.2,0.9
2011-05-19,14.9,21.6,8.5,0.0
2011-05-20,16.2,22.4,9.0,0.0
2011-05-21,17.4,24.3,10.6,0.0
2011-05-22,16.3,22.4,10.8,0.0
2011-05-23,14.8,18.4,12.0,0.2
2011-05-24,16.0,22.6,9.3,0.0
2011-05-25,17.8,24.6,10.1,0.0
2011-05-26,17.6,23.8,10.2,0.0
2011-05-27,19.8,27.1,11.2,0.0
2011-05-28,18.1,24.0,13.3,0.0
2011-05-29,16.0,22.0,11.8,0.2
2011-05-30,17.6,25.7,8.2,0.0
2011-05-31,18.1,25.7,9.6,0.0
2011-06-01,17.0,22.6,10.9,0.0
2011-06-02,18.5,26.7,9.1,0.0
2011-06-03,17.8,25.1,10.2,0.0
2011-06-04,16.2,21.7,11.7,0.0
2011-06-05,16.6,21.7,11.0,1.4
2011-06-06,16.1,22.0,12.2,0.4
2011-06-07,17.4,23.8,10.8,0.0
2011-06-08,16.9,23.0,12.1,0.0
2011-06-09,17.5,23.4,13.1,0.0
2011-06-10,17.4,23.6,11.8,0.0
2011-06-11,17.3,23.3,12.1,0.0
2011-06-12,17.5,23.2,12.5,0.0
2011-06-13,18.7,24.8,13.0,0.0
2011-06-14,21.0,28.0,13.8,0.0
2011-06-15,20.1,26.4,15.1,0.0
2011-06-16,18.4,23.8,13.9,0.0
2011-06-17,17.9,23.1,14.4,0.0
2011-06-18,18.2,25.1,12.8,0.0
